Iteration,Discriminator Loss,Generator Loss
0,0.755897,0.695757
10,0.612902,0.790430
20,0.349796,1.263544
30,0.124507,2.523798
40,0.223361,3.370062
50,0.285211,2.719477
60,0.511928,2.083576
70,0.520117,1.877415
80,0.595756,1.573641
90,0.685673,1.751980
100,0.756399,1.648190
110,1.896505,1.610740
120,0.943852,1.120559
130,1.404878,0.170198
140,3.780288,0.629885
150,1.051459,0.872616
160,1.688563,1.887595
170,3.847656,0.784322
180,1.689916,1.799015
190,4.197603,0.773845
200,1.488049,1.894178
210,2.458908,1.631302
220,2.267103,1.281699
230,1.855581,1.236465
240,1.507125,1.037286
250,1.380956,0.757267
260,1.381316,0.673157
270,1.308198,0.607375
280,1.238960,0.671708
290,1.160822,0.669053
300,1.116539,0.799411
310,1.069749,0.578828
320,1.010628,0.587911
330,1.083285,0.498695
340,1.014909,0.549707
350,0.857272,0.784981
360,1.016589,0.540726
370,0.956294,0.548937
380,0.812499,0.974816
390,1.002885,0.594535
400,0.935074,0.739688
410,1.254722,0.563575
420,1.100246,0.598070
430,0.988539,0.837417
440,1.014068,0.754692
450,1.079594,1.180342
460,1.051633,1.020918
470,1.057508,1.273109
480,1.010745,1.065863
490,1.032481,1.133844
500,1.248872,0.828220
510,1.345426,0.632406
520,1.286696,0.748246
530,1.301790,0.757740
540,1.333340,0.743025
550,1.360671,0.749721
560,1.319219,0.769976
570,1.362076,0.752958
580,1.336408,0.759023
590,1.312675,0.822393
600,1.286496,0.792549
610,1.281224,0.702911
620,1.256286,0.766776
630,1.240388,0.748505
640,1.272100,0.739946
650,1.239272,0.746867
660,1.219280,0.732009
670,1.237844,0.703628
680,1.233760,0.714994
690,1.273699,0.622947
700,1.227090,0.649424
710,1.248511,0.678161
720,1.225869,0.661401
730,1.228086,0.625689
740,1.204754,0.760807
750,1.187238,0.733404
760,1.177392,0.690419
770,1.198603,0.729709
780,1.117450,0.784212
790,1.180993,0.756806
800,1.189533,0.818667
810,1.185812,0.782922
820,1.187834,0.772493
830,1.163424,0.710108
840,1.118514,0.782933
850,1.137868,0.824907
860,1.131382,0.810367
870,1.106991,0.811035
880,1.104231,0.791851
890,1.096652,0.783440
900,1.100250,0.751768
910,1.061819,0.793253
920,1.057585,0.760842
930,0.978050,0.860764
940,1.002660,0.835246
950,1.001536,0.911400
960,1.003325,1.032245
970,0.906491,1.231389
980,0.749680,1.749424
990,0.711339,1.921877
1000,0.771200,1.942522
1010,0.717407,2.023295
1020,0.664821,2.070564
1030,0.815604,1.471826
1040,0.868086,1.135281
1050,1.003586,0.957225
1060,1.020085,0.888849
1070,1.012046,0.895978
1080,1.027282,0.870421
1090,1.060590,0.762591
1100,1.058222,0.832953
1110,1.053471,0.811379
1120,1.035995,0.854700
1130,1.141715,0.825395
1140,1.052461,0.892703
1150,1.083271,0.824928
1160,1.049872,0.865935
1170,1.135496,0.763078
1180,1.104167,0.724156
1190,1.047019,0.807772
1200,1.060551,0.845861
1210,1.109272,0.840229
1220,1.089297,0.790359
1230,1.137540,1.131014
1240,1.007636,1.182980
1250,1.085553,0.695645
1260,1.074304,0.843076
1270,1.103531,0.767600
1280,1.102918,0.822258
1290,1.060730,0.693228
1300,1.034994,0.930497
1310,1.111813,0.758353
1320,1.001744,0.777915
1330,1.069641,1.150640
1340,1.058208,1.192753
1350,1.082297,0.795714
1360,1.084827,0.883093
1370,1.087449,0.864026
1380,1.163701,0.723955
1390,1.134821,0.755070
1400,1.105395,1.145059
1410,1.097092,1.117957
1420,1.100852,0.780143
1430,1.080131,0.981818
1440,1.093718,1.097888
1450,1.102164,0.817722
1460,1.132416,0.959652
1470,1.103358,0.819991
1480,1.143735,0.634066
1490,1.128340,1.130621
1500,1.085179,1.032628
1510,1.060149,0.753818
1520,1.087187,1.037709
1530,1.107187,0.814037
1540,1.142183,0.816092
1550,1.139128,0.781839
1560,1.090414,1.251229
1570,1.119043,1.217992
1580,1.085595,0.831536
1590,1.136715,0.763295
1600,1.123060,0.803183
1610,1.137978,0.735626
1620,1.089445,0.769215
1630,1.043577,1.005895
1640,1.080593,0.886331
1650,1.097827,1.105683
1660,1.109206,0.748959
1670,1.097585,1.175723
1680,1.126650,1.149724
1690,0.978631,0.816012
1700,1.111785,0.778167
1710,1.077940,0.800157
1720,1.150583,0.819971
1730,1.113021,1.117018
1740,1.132486,1.119480
1750,1.112561,0.822607
1760,1.056381,1.020255
1770,1.161999,1.120018
1780,1.155994,0.749271
1790,1.158034,1.004827
1800,1.037399,0.898953
1810,1.178603,1.270520
1820,1.121196,0.903091
1830,1.066456,1.023871
1840,1.077153,0.805153
1850,1.061870,1.110599
1860,1.109620,1.020183
1870,1.172557,1.108407
1880,1.121361,0.790302
1890,1.180094,0.985370
1900,1.093411,0.753075
1910,1.095290,0.801300
1920,1.125017,1.010669
1930,1.054485,0.847928
1940,1.137394,0.815424
1950,1.082186,0.809466
1960,1.166386,0.759573
1970,1.138975,0.794952
1980,1.163385,0.869191
1990,1.264987,0.592846
2000,1.137043,0.794459
2010,1.128456,0.997498
2020,1.121157,0.716632
2030,1.141102,0.731225
2040,1.141153,0.756030
2050,1.158826,0.792856
2060,1.137034,0.743374
2070,1.110006,1.035346
2080,1.074808,0.788767
2090,1.082962,0.735876
2100,1.094008,0.826797
2110,1.127872,0.835371
2120,1.175395,1.109213
2130,1.124153,0.923637
2140,1.117538,0.811503
2150,1.074807,0.870913
2160,1.075436,0.881270
2170,1.163736,0.802057
2180,1.134301,0.970454
2190,1.099160,0.824232
2200,1.136497,0.835483
2210,1.148726,1.085212
2220,1.072656,0.877738
2230,1.176265,0.814566
2240,1.121122,0.819163
2250,1.136684,0.796881
2260,1.122211,0.819561
2270,1.080243,0.826182
2280,1.154064,0.825738
2290,1.116226,0.824947
2300,1.167568,0.790319
2310,1.152270,0.853823
2320,1.127535,0.765998
2330,1.154894,0.767726
2340,1.129693,0.936630
2350,1.122301,0.884312
2360,1.162905,0.763174
2370,1.107120,1.081179
2380,1.187598,0.996949
2390,1.163445,1.035693
2400,1.141859,0.888301
2410,0.980393,0.761815
2420,1.124370,0.990396
2430,1.191058,1.060120
2440,1.147300,0.919803
2450,1.163390,0.894269
2460,1.174748,0.887296
2470,1.193516,0.937797
2480,1.146925,0.905093
2490,1.140145,0.870340
2500,1.134951,0.887391
2510,1.156523,0.765521
2520,1.132883,0.917094
